2026-09-07 16:38:35,624 INFO    [MainThread] etl.pipeline_logger [PLOG-FILE] run log opened for dataset='BRANCH_1788773915.582278' -> logs\BRANCH_1788773915.582278.txt
2026-09-07 16:38:35,625 INFO    [MainThread] etl.module9_fusion [M9] MODIS tidak dikonfigurasi dataset=9, tidak diunduh
2026-09-07 16:38:35,625 INFO    [MainThread] etl.module8_gpm_download [M8] dataset_id=9 level=['PROCESSED'] window=['24h', '72h', '7d'] granule_hari=7
2026-09-07 16:38:35,639 INFO    [MainThread] etl.pipeline_logger [PLOG] {"log_id": 57, "dataset_id": 9, "scene_id": "GPM_20240305", "module": "MODULE8_GPM_DOWNLOAD", "stage": "DOWNLOAD", "status": "COMPLETED", "message": "GPM 24h: selesai (1 hari)", "window": "24h", "days_aggregated": 1}
2026-09-07 16:38:35,646 INFO    [MainThread] etl.pipeline_logger [PLOG] {"log_id": 58, "dataset_id": 9, "scene_id": "GPM_20240305", "module": "MODULE8_GPM_DOWNLOAD", "stage": "DOWNLOAD", "status": "COMPLETED", "message": "GPM 72h: selesai (3 hari)", "window": "72h", "days_aggregated": 3}
2026-09-07 16:38:35,654 INFO    [MainThread] etl.pipeline_logger [PLOG] {"log_id": 59, "dataset_id": 9, "scene_id": "GPM_20240305", "module": "MODULE8_GPM_DOWNLOAD", "stage": "DOWNLOAD", "status": "COMPLETED", "message": "GPM 7d: selesai (7 hari)", "window": "7d", "days_aggregated": 7}
2026-09-07 16:38:35,659 INFO    [MainThread] etl.pipeline_logger [PLOG] {"log_id": 60, "dataset_id": 9, "scene_id": "GPM_20240305", "module": "MODULE8_GPM_DOWNLOAD", "stage": "DOWNLOAD_SUMMARY", "status": "COMPLETED", "message": "GPM selesai: 3/3 produk", "windows_ok": ["24h", "72h", "7d"], "windows_failed": [], "quality": "GOOD"}
2026-09-07 16:38:35,659 INFO    [MainThread] etl.module8_gpm_download [M8] selesai: 3/3 produk rainfall dibuat untuk dataset_id=9 tanggal=2024-03-05
2026-09-07 16:38:35,668 INFO    [MainThread] etl.metadata_manager [SCENE] Registered scene_id=5 pid=NASA_AUX_GPM_9_20240305 acq=2024-03-05T00:00:00+00:00
2026-09-07 16:38:35,675 INFO    [MainThread] etl.metadata_manager [JOB] Created job_id=9 scene=5 stage=DOWNLOAD attempt=1
2026-09-07 16:38:35,699 INFO    [MainThread] etl.metadata_manager [PRODUCT] Registered product_id=35 scene=5 band=RAIN_24H tier=SILVER level=PROCESSED source=GPM dataset=9 file=gpm_rain_24h_20240305.tif
2026-09-07 16:38:35,722 INFO    [MainThread] etl.metadata_manager [PRODUCT] Registered product_id=36 scene=5 band=RAIN_72H tier=SILVER level=PROCESSED source=GPM dataset=9 file=gpm_rain_72h_20240305.tif
2026-09-07 16:38:35,747 INFO    [MainThread] etl.metadata_manager [PRODUCT] Registered product_id=37 scene=5 band=RAIN_7D tier=SILVER level=PROCESSED source=GPM dataset=9 file=gpm_rain_7d_20240305.tif
2026-09-07 16:38:35,763 INFO    [MainThread] etl.metadata_manager [JOB] Created job_id=10 scene=5 stage=GOLD_EXPORT attempt=1
2026-09-07 16:38:35,767 INFO    [MainThread] etl.metadata_manager [JOB] job_id=10 -> RUNNING
2026-09-07 16:38:35,791 INFO    [MainThread] etl.metadata_manager [PRODUCT] Registered product_id=38 scene=5 band=RAIN_24H tier=GOLD level=PROCESSED source=GPM dataset=9 file=gpm_rain_24h_20240305.tif
2026-09-07 16:38:35,797 INFO    [MainThread] etl.lineage_tracker [LINEAGE] lineage_id=20 parent=35 →[GOLD_EXPORT]→ child=38
2026-09-07 16:38:35,819 INFO    [MainThread] etl.metadata_manager [PRODUCT] Registered product_id=39 scene=5 band=RAIN_72H tier=GOLD level=PROCESSED source=GPM dataset=9 file=gpm_rain_72h_20240305.tif
2026-09-07 16:38:35,825 INFO    [MainThread] etl.lineage_tracker [LINEAGE] lineage_id=21 parent=36 →[GOLD_EXPORT]→ child=39
2026-09-07 16:38:35,847 INFO    [MainThread] etl.metadata_manager [PRODUCT] Registered product_id=40 scene=5 band=RAIN_7D tier=GOLD level=PROCESSED source=GPM dataset=9 file=gpm_rain_7d_20240305.tif
2026-09-07 16:38:35,854 INFO    [MainThread] etl.lineage_tracker [LINEAGE] lineage_id=22 parent=37 →[GOLD_EXPORT]→ child=40
2026-09-07 16:38:35,858 INFO    [MainThread] etl.metadata_manager [JOB] job_id=10 -> SUCCESS
2026-09-07 16:38:35,870 INFO    [MainThread] etl.pipeline_logger [PLOG] {"log_id": 61, "dataset_id": 9, "scene_id": "20240305", "module": "ORCHESTRATOR", "stage": "SCENE_PIPELINE", "status": "COMPLETED", "message": "Aux 20240305: 6 berkas ditulis", "date": "2024-03-05", "files_written": 6, "tiers": {"BRONZE": 0, "SILVER": 3, "GOLD": 3}}
2026-09-07 16:38:35,870 INFO    [MainThread] etl.pipeline_logger [PLOG-FILE] run log closed for dataset='BRANCH_1788773915.582278'
