2026-09-10 20:04:58,897 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 6, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE2_CROP", "stage": "CROP", "status": "COMPLETED", "message": "CROP completed", "bbox": [106.4, -6.7, 107.2, -5.9], "output_vv": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-38\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1789045498.613738\\20240305\\bronze\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VV_crop.tif", "output_vh": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-38\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1789045498.613738\\20240305\\bronze\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VH_crop.tif", "file_size_mb": 0.006, "duration_seconds": 0.015, "memory_peak_mb": 181.19, "cpu_peak_percent": 0.0}
2026-09-10 20:04:58,921 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=53 scene=23 band=VV tier=BRONZE level=RAW source=SENTINEL1 dataset=20 file=S1A_IW_GRDH_TEST_20240305_VV_crop.tif
2026-09-10 20:04:58,942 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=54 scene=23 band=VH tier=BRONZE level=RAW source=SENTINEL1 dataset=20 file=S1A_IW_GRDH_TEST_20240305_VH_crop.tif
2026-09-10 20:04:58,949 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=33 parent=51 →[CROP]→ child=53
2026-09-10 20:04:58,957 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=34 parent=52 →[CROP]→ child=54
2026-09-10 20:04:58,961 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=36 -> SUCCESS
2026-09-10 20:04:58,966 INFO    [Thread-73 (_pipeline_worker)] etl.module5_orchestrator [ORCH] pid=S1A_IW_GRDH_TEST_20240305 berhenti di BRONZE: SENTINEL1 dikonfigurasi RAW-only
2026-09-10 20:04:58,966 INFO    [Thread-73 (_pipeline_worker)] etl.module7_modis_download [M7] dataset_id=20 level=['PROCESSED'] band=['FLOOD', 'NDVI', 'NDWI']
2026-09-10 20:04:59,115 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 7, "dataset_id": 20, "scene_id": "MODIS_20240305", "module": "MODULE7_MODIS_DOWNLOAD", "stage": "DOWNLOAD", "status": "COMPLETED", "message": "MODIS 20240305: selesai (3/3 band)", "date": "2024-03-05", "bands_ok": ["FLOOD", "NDVI", "NDWI"], "bands_failed": [], "degraded": false}
2026-09-10 20:04:59,120 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 8, "dataset_id": 20, "scene_id": "MODIS_20240305_20240305", "module": "MODULE7_MODIS_DOWNLOAD", "stage": "DOWNLOAD_SUMMARY", "status": "COMPLETED", "message": "MODIS selesai: 1/1 hari berhasil", "days_ok": 1, "days_degraded": 0, "days_failed": 0, "failed_days": [], "quality": "GOOD"}
